,Date,ND confirmed,NE confirmed,ND deaths,NE deaths,ne_confirmed_per_day,nd_confirmed_per_day,ne_deaths_per_day,nd_deaths_per_day
0,2020-01-22,0,0,0,0,0,0,0,0
1,2020-01-23,0,0,0,0,0,0,0,0
2,2020-01-24,0,0,0,0,0,0,0,0
3,2020-01-25,0,0,0,0,0,0,0,0
4,2020-01-26,0,0,0,0,0,0,0,0
5,2020-01-27,0,0,0,0,0,0,0,0
6,2020-01-28,0,0,0,0,0,0,0,0
7,2020-01-29,0,0,0,0,0,0,0,0
8,2020-01-30,0,0,0,0,0,0,0,0
9,2020-01-31,0,0,0,0,0,0,0,0
10,2020-02-01,0,0,0,0,0,0,0,0
11,2020-02-02,0,0,0,0,0,0,0,0
12,2020-02-03,0,0,0,0,0,0,0,0
13,2020-02-04,0,0,0,0,0,0,0,0
14,2020-02-05,0,0,0,0,0,0,0,0
15,2020-02-06,0,0,0,0,0,0,0,0
16,2020-02-07,0,0,0,0,0,0,0,0
17,2020-02-08,0,0,0,0,0,0,0,0
18,2020-02-09,0,0,0,0,0,0,0,0
19,2020-02-10,0,0,0,0,0,0,0,0
20,2020-02-11,0,0,0,0,0,0,0,0
21,2020-02-12,0,0,0,0,0,0,0,0
22,2020-02-13,0,0,0,0,0,0,0,0
23,2020-02-14,0,0,0,0,0,0,0,0
24,2020-02-15,0,0,0,0,0,0,0,0
25,2020-02-16,0,0,0,0,0,0,0,0
26,2020-02-17,0,0,0,0,0,0,0,0
27,2020-02-18,0,0,0,0,0,0,0,0
28,2020-02-19,0,0,0,0,0,0,0,0
29,2020-02-20,0,0,0,0,0,0,0,0
30,2020-02-21,0,0,0,0,0,0,0,0
31,2020-02-22,0,0,0,0,0,0,0,0
32,2020-02-23,0,0,0,0,0,0,0,0
33,2020-02-24,0,0,0,0,0,0,0,0
34,2020-02-25,0,0,0,0,0,0,0,0
35,2020-02-26,0,0,0,0,0,0,0,0
36,2020-02-27,0,0,0,0,0,0,0,0
37,2020-02-28,0,0,0,0,0,0,0,0
38,2020-02-29,0,0,0,0,0,0,0,0
39,2020-03-01,0,0,0,0,0,0,0,0
40,2020-03-02,0,0,0,0,0,0,0,0
41,2020-03-03,0,0,0,0,0,0,0,0
42,2020-03-04,0,0,0,0,0,0,0,0
43,2020-03-05,0,0,0,0,0,0,0,0
44,2020-03-06,0,1,0,0,1,0,0,0
45,2020-03-07,0,1,0,0,0,0,0,0
46,2020-03-08,0,1,0,0,0,0,0,0
47,2020-03-09,0,4,0,0,3,0,0,0
48,2020-03-10,0,5,0,0,1,0,0,0
49,2020-03-11,0,10,0,0,5,0,0,0
50,2020-03-12,1,11,0,0,1,1,0,0
51,2020-03-13,1,13,0,0,2,0,0,0
52,2020-03-14,1,18,0,0,5,0,0,0
53,2020-03-15,1,18,0,0,0,0,0,0
54,2020-03-16,1,18,0,0,0,0,0,0
55,2020-03-17,5,24,0,0,6,4,0,0
56,2020-03-18,7,26,0,0,2,2,0,0
57,2020-03-19,19,31,0,0,5,12,0,0
58,2020-03-20,26,36,0,0,5,7,0,0
59,2020-03-21,28,45,0,0,9,2,0,0
60,2020-03-22,30,49,0,0,4,2,0,0
61,2020-03-23,32,52,0,0,3,2,0,0
62,2020-03-24,36,55,0,0,3,4,0,0
63,2020-03-25,45,62,0,0,7,9,0,0
64,2020-03-26,58,73,0,0,11,13,0,0
65,2020-03-27,68,80,1,2,7,10,2,1
66,2020-03-28,93,108,1,2,28,25,0,0
67,2020-03-29,97,129,1,2,21,4,0,0
68,2020-03-30,109,153,3,3,24,12,1,2
69,2020-03-31,126,177,3,4,24,17,1,0
70,2020-04-01,147,214,3,5,37,21,1,0
71,2020-04-02,159,254,3,6,40,12,1,0
72,2020-04-03,173,284,3,6,30,14,0,0
73,2020-04-04,186,318,3,6,34,13,0,0
74,2020-04-05,207,354,3,6,36,21,0,0
75,2020-04-06,225,401,3,6,47,18,0,0
76,2020-04-07,237,477,4,6,76,12,0,1
77,2020-04-08,251,522,4,14,45,14,8,0
78,2020-04-09,269,576,5,14,54,18,0,1
79,2020-04-10,278,646,7,14,70,9,0,2
80,2020-04-11,293,703,7,14,57,15,0,0
81,2020-04-12,308,757,8,14,54,15,0,1
82,2020-04-13,331,832,9,14,75,23,0,1
83,2020-04-14,341,873,9,14,41,10,0,0
84,2020-04-15,365,915,9,14,42,24,0,0
85,2020-04-16,393,960,9,14,45,28,0,0
86,2020-04-17,393,1003,9,14,43,0,0,0
87,2020-04-18,393,1163,9,14,160,0,0,0
88,2020-04-19,393,1200,10,14,37,0,0,1
89,2020-04-20,627,1293,13,14,93,234,0,3
90,2020-04-21,643,1436,13,14,143,16,0,0
91,2020-04-22,679,1676,14,14,240,36,0,1
92,2020-04-23,709,1895,15,14,219,30,0,1
93,2020-04-24,748,2110,15,14,215,39,0,0
94,2020-04-25,803,2394,16,14,284,55,0,1
95,2020-04-26,867,2517,17,14,123,64,0,1
96,2020-04-27,941,2880,19,14,363,74,0,2
97,2020-04-28,990,3280,19,14,400,49,0,0
98,2020-04-29,1033,3760,19,70,480,43,4,0
99,2020-04-30,1067,4232,19,72,472,34,2,0
100,2020-05-01,1107,4781,23,75,549,40,3,4
101,2020-05-02,1153,5260,24,78,479,46,3,1
102,2020-05-03,1191,5597,25,79,337,38,1,1
103,2020-05-04,1225,5988,25,79,391,34,0,0
104,2020-05-05,1266,6335,25,82,347,41,3,0
105,2020-05-06,1322,6667,31,86,332,56,4,6
106,2020-05-07,1370,7067,31,91,400,48,5,0
107,2020-05-08,1424,7695,33,92,628,54,1,2
108,2020-05-09,1463,8091,34,96,396,39,4,1
109,2020-05-10,1489,8171,35,99,80,26,3,1
110,2020-05-11,1515,8390,36,101,219,26,2,1
111,2020-05-12,1570,8531,38,103,141,55,2,2
112,2020-05-13,1645,8908,40,107,377,75,4,2
113,2020-05-14,1712,9241,40,113,333,67,6,0
114,2020-05-15,1761,9607,42,118,366,49,5,2
115,2020-05-16,1847,10050,42,122,443,86,4,0
116,2020-05-17,1897,10171,43,122,121,50,0,1
117,2020-05-18,1927,10457,44,124,286,30,2,1
118,2020-05-19,1992,10685,45,128,228,65,4,1
119,2020-05-20,2078,10947,49,135,262,86,7,4
120,2020-05-21,2188,11249,51,141,302,110,6,2
121,2020-05-22,2267,11492,52,145,243,79,4,1
122,2020-05-23,2315,11791,52,145,299,48,0,0
123,2020-05-24,2364,11942,53,148,151,49,3,1
124,2020-05-25,2402,12168,54,148,226,38,0,1
125,2020-05-26,2420,12423,54,151,255,18,3,0
126,2020-05-27,2437,12786,56,160,363,17,9,2
127,2020-05-28,2479,13052,57,161,266,42,1,1
128,2020-05-29,2518,13438,59,166,386,39,5,2
129,2020-05-30,2552,13688,59,166,250,34,0,0
130,2020-05-31,2575,13880,59,167,192,23,1,0
131,2020-06-01,2624,14131,61,176,251,49,9,2
132,2020-06-02,2646,14402,65,179,271,22,3,4
133,2020-06-03,2679,14671,66,184,269,33,5,1
134,2020-06-04,2706,14923,66,185,252,27,1,0
135,2020-06-05,2745,15186,71,186,263,39,1,5
136,2020-06-06,2816,15351,72,187,165,71,1,1
137,2020-06-07,2861,15443,72,187,92,45,0,0
138,2020-06-08,2879,15565,72,188,122,18,1,0
139,2020-06-09,2901,15698,72,191,133,22,3,0
140,2020-06-10,2941,15839,73,195,141,40,4,1
141,2020-06-11,2980,16130,74,212,291,39,4,1
142,2020-06-12,3016,16334,74,216,204,36,4,0
143,2020-06-13,3058,16454,74,216,120,42,0,0
144,2020-06-14,3080,16544,74,216,90,22,0,0
145,2020-06-15,3101,16674,74,220,130,21,4,0
146,2020-06-16,3124,16861,74,231,187,23,11,0
147,2020-06-17,3192,17052,74,234,191,68,3,0
148,2020-06-18,3192,17235,75,239,183,0,5,1
149,2020-06-19,3225,17410,76,244,175,33,5,1
150,2020-06-20,3251,17519,76,244,109,26,0,0
151,2020-06-21,3288,17621,77,244,102,37,0,1
152,2020-06-22,3313,17771,77,249,150,25,5,0
153,2020-06-23,3319,17910,78,256,139,6,7,1
154,2020-06-24,3393,18037,78,257,127,74,1,0
155,2020-06-25,3418,18180,78,260,143,25,3,0
156,2020-06-26,3458,18356,78,266,176,40,6,0
157,2020-06-27,3458,18603,78,267,247,0,1,0
158,2020-06-28,3539,18728,79,267,125,81,0,1
