Date,Confirmed
2020-01-22,0
2020-01-23,1
2020-01-24,0
2020-01-25,3
2020-01-26,1
2020-01-27,0
2020-01-28,1
2020-01-29,0
2020-01-30,1
2020-01-31,1
2020-02-01,0
2020-02-02,2
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,1
2020-02-11,0
2020-02-12,1
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,1
2020-02-18,0
2020-02-19,0
2020-02-20,3
2020-02-21,0
2020-02-22,0
2020-02-23,1
2020-02-24,0
2020-02-25,2
2020-02-26,1
2020-02-27,2
2020-02-28,11
2020-02-29,6
2020-03-01,22
2020-03-02,19
2020-03-03,35
2020-03-04,66
2020-03-05,49
2020-03-06,145
2020-03-07,116
2020-03-08,259
2020-03-09,285
2020-03-10,303
2020-03-11,397
2020-03-12,580
2020-03-13,652
2020-03-14,801
2020-03-15,962
2020-03-16,1571
2020-03-17,2912
2020-03-18,5022
2020-03-19,4916
2020-03-20,7317
2020-03-21,7287
2020-03-22,10113
2020-03-23,10019
2020-03-24,14698
2020-03-25,16489
2020-03-26,17520
2020-03-27,20392
2020-03-28,18767
2020-03-29,21951
2020-03-30,23045
2020-03-31,26386
2020-04-01,28720
2020-04-02,35204
2020-04-03,33680
2020-04-04,24712
2020-04-05,29854
2020-04-06,30285
2020-04-07,32614
2020-04-08,33844
2020-04-09,33147
2020-04-10,31076
2020-04-11,27254
2020-04-12,24929
2020-04-13,25374
2020-04-14,30120
2020-04-15,32550
2020-04-16,30935
2020-04-17,27739
2020-04-18,25121
2020-04-19,26493
2020-04-20,25487
2020-04-21,28775
2020-04-22,31655
2020-04-23,37393
2020-04-24,33968
2020-04-25,25483
2020-04-26,22763
2020-04-27,24106
2020-04-28,27921
2020-04-29,28976
2020-04-30,33092
2020-05-01,29972
2020-05-02,25166
2020-05-03,21658
2020-05-04,24122
2020-05-05,23651
2020-05-06,27612
2020-05-07,27387
2020-05-08,25578
2020-05-09,20125
2020-05-10,17781
2020-05-11,21473
2020-05-12,20662
2020-05-13,26767
2020-05-14,24907
2020-05-15,24511
2020-05-16,18518
2020-05-17,21636
2020-05-18,20598
2020-05-19,22083
2020-05-20,25958
2020-05-21,23359
2020-05-22,22254
2020-05-23,20680
2020-05-24,19081
2020-05-25,17961
2020-05-26,20047
2020-05-27,22498
2020-05-28,24980
2020-05-29,22985
2020-05-30,18844
2020-05-31,21332
2020-06-01,20481
2020-06-02,19466
2020-06-03,21775
2020-06-04,28751
2020-06-05,22901
2020-06-06,17969
2020-06-07,16982
2020-06-08,18577
2020-06-09,20442
2020-06-10,22520
2020-06-11,25704
2020-06-12,25727
2020-06-13,20464
2020-06-14,18579
2020-06-15,24502
2020-06-16,24441
2020-06-17,27171
2020-06-18,30938
2020-06-19,31721
2020-06-20,26864
2020-06-21,29374
2020-06-22,34944
2020-06-23,35408
2020-06-24,39084
2020-06-25,45809
2020-06-26,42266
2020-06-27,39349
2020-06-28,39665
2020-06-29,46351
2020-06-30,49488
2020-07-01,55307
2020-07-02,53836
2020-07-03,45216
2020-07-04,41552
2020-07-05,54221
2020-07-06,55555
2020-07-07,57891
2020-07-08,62893
2020-07-09,69638
2020-07-10,60568
2020-07-11,58140
2020-07-12,56891
2020-07-13,68981
2020-07-14,66156
2020-07-15,76315
2020-07-16,69354
2020-07-17,66204
2020-07-18,60356
2020-07-19,57139
2020-07-20,66848
2020-07-21,67510
2020-07-22,68095
2020-07-23,73774
2020-07-24,65137
2020-07-25,56709
2020-07-26,56635
2020-07-27,63063
2020-07-28,76682
2020-07-29,58601
2020-07-30,69970
2020-07-31,59759
2020-08-01,36000
2020-08-02,57410
2020-08-03,52277
2020-08-04,53608
2020-08-05,56415
2020-08-06,60612
2020-08-07,54283
2020-08-08,47311
2020-08-09,42818
2020-08-10,56523
2020-08-11,54029
2020-08-12,52250
2020-08-13,57320
2020-08-14,50723
2020-08-15,38165
2020-08-16,40945
2020-08-17,41463
2020-08-18,45241
2020-08-19,43273
2020-08-20,47900
2020-08-21,44724
2020-08-22,32392
2020-08-23,37363
2020-08-24,38381
2020-08-25,45498
2020-08-26,45860
2020-08-27,44956
2020-08-28,43516
2020-08-29,33289
2020-08-30,35790
2020-08-31,42993
2020-09-01,39705
2020-09-02,41891
2020-09-03,49685
2020-09-04,44445
2020-09-05,30141
2020-09-06,26551
2020-09-07,24263
2020-09-08,34370
2020-09-09,35336
2020-09-10,46457
2020-09-11,38569
2020-09-12,34430
2020-09-13,34880
2020-09-14,34652
2020-09-15,47728
2020-09-16,43932
2020-09-17,48258
2020-09-18,43590
2020-09-19,34809
2020-09-20,38465
2020-09-21,48580
2020-09-22,38594
2020-09-23,45223
2020-09-24,54856
2020-09-25,42337
2020-09-26,38120
2020-09-27,32493
2020-09-28,37056
2020-09-29,44869
2020-09-30,46773
2020-10-01,47738
2020-10-02,51978
2020-10-03,36341
2020-10-04,36832
2020-10-05,40759
2020-10-06,49803
2020-10-07,57660
2020-10-08,56850
2020-10-09,57426
2020-10-10,38322
2020-10-11,43261
2020-10-12,50297
2020-10-13,58915
2020-10-14,66648
2020-10-15,63632
2020-10-16,60136
2020-10-17,45611
2020-10-18,59217
2020-10-19,59734
2020-10-20,60515
2020-10-21,79606
2020-10-22,82216
2020-10-23,53606
2020-10-24,78846
2020-10-25,68424
2020-10-26,71227
2020-10-27,78514
2020-10-28,89400
2020-10-29,96397
2020-10-30,73645
2020-10-31,82766
2020-11-01,85933
2020-11-02,91969
2020-11-03,107834
2020-11-04,117990
2020-11-05,132370
2020-11-06,113421
2020-11-07,105050
2020-11-08,127977
2020-11-09,138975
2020-11-10,147463
2020-11-11,145158
2020-11-12,181871
2020-11-13,164854
2020-11-14,132347
2020-11-15,154195
2020-11-16,142988
2020-11-17,162010
2020-11-18,192372
2020-11-19,174068
2020-11-20,207697
2020-11-21,137841
2020-11-22,170391
2020-11-23,172097
2020-11-24,184996
2020-11-25,109359
2020-11-26,181448
2020-11-27,175602
2020-11-28,116363
2020-11-29,155416
2020-11-30,184552
2020-12-01,202602
2020-12-02,207074
2020-12-03,221671
2020-12-04,207466
2020-12-05,159912
2020-12-06,201431
2020-12-07,222390
2020-12-08,224266
2020-12-09,212262
2020-12-10,235885
2020-12-11,205829
2020-12-12,170924
2020-12-13,205763
2020-12-14,193100
2020-12-15,227433
2020-12-16,238975
2020-12-17,233002
2020-12-18,183914
2020-12-19,164813
2020-12-20,367180
2020-12-21,174793
2020-12-22,229687
2020-12-23,182031
2020-12-24,49948
2020-12-25,172740
2020-12-26,122340
2020-12-27,218172
2020-12-28,230387
2020-12-29,258306
2020-12-30,204967
2020-12-31,190674
2021-01-01,289018
2021-01-02,230186
2021-01-03,171041
2021-01-04,238166
2021-01-05,257046
2021-01-06,263848
2021-01-07,274503
2021-01-08,270847
2021-01-09,221582
2021-01-10,197154
2021-01-11,209969
2021-01-12,219247
2021-01-13,246098
2021-01-14,235935
2021-01-15,210078
2021-01-16,183683
2021-01-17,155193
2021-01-18,137242
2021-01-19,199607
2021-01-20,193263
2021-01-21,181692
2021-01-22,170196
2021-01-23,138492
2021-01-24,136050
2021-01-25,141251
2021-01-26,154702
2021-01-27,152348
2021-01-28,165334
2021-01-29,151393
2021-01-30,116847
2021-01-31,121098
2021-02-01,112929
2021-02-02,116269
2021-02-03,121606
2021-02-04,132417
2021-02-05,98029
2021-02-06,106052
2021-02-07,76877
2021-02-08,93434
2021-02-09,97184
2021-02-10,102407
2021-02-11,95677
2021-02-12,90359
2021-02-13,68563
2021-02-14,54094
2021-02-15,59112
2021-02-16,66535
2021-02-17,64607
2021-02-18,73310
2021-02-19,72354
2021-02-20,57433
2021-02-21,49123
2021-02-22,66071
2021-02-23,74563
2021-02-24,76816
2021-02-25,62150
2021-02-26,79100
2021-02-27,52500
2021-02-28,76154
2021-03-01,54073
2021-03-02,67699
2021-03-03,63926
2021-03-04,64462
2021-03-05,53143
2021-03-06,41544
2021-03-07,42533
2021-03-08,53195
2021-03-09,56290
2021-03-10,56545
2021-03-11,56819
2021-03-12,55722
2021-03-13,42679
2021-03-14,46879
2021-03-15,54551
2021-03-16,56959
2021-03-17,55205
2021-03-18,55683
2021-03-19,46424
2021-03-20,36416
2021-03-21,45715
2021-03-22,52550
2021-03-23,98956
2021-03-24,60734
2021-03-25,70568
2021-03-26,58807
2021-03-27,59829
2021-03-28,54285
2021-03-29,52741
2021-03-30,67217
2021-03-31,84363
