Date,Deaths
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,1
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,1
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,1
2020-02-29,0
2020-03-01,5
2020-03-02,1
2020-03-03,4
2020-03-04,1
2020-03-05,5
2020-03-06,3
2020-03-07,3
2020-03-08,6
2020-03-09,3
2020-03-10,6
2020-03-11,4
2020-03-12,7
2020-03-13,10
2020-03-14,7
2020-03-15,32
2020-03-16,19
2020-03-17,42
2020-03-18,61
2020-03-19,41
2020-03-20,82
2020-03-21,100
2020-03-22,141
2020-03-23,213
2020-03-24,283
2020-03-25,303
2020-03-26,398
2020-03-27,550
2020-03-28,423
2020-03-29,646
2020-03-30,937
2020-03-31,1045
2020-04-01,1269
2020-04-02,1347
2020-04-03,1389
2020-04-04,1502
2020-04-05,1546
2020-04-06,2161
2020-04-07,2081
2020-04-08,1979
2020-04-09,2500
2020-04-10,1750
2020-04-11,1681
2020-04-12,1129
2020-04-13,3153
2020-04-14,2446
2020-04-15,2262
2020-04-16,1978
2020-04-17,1506
2020-04-18,2523
2020-04-19,1818
2020-04-20,2757
2020-04-21,2035
2020-04-22,1815
2020-04-23,2687
2020-04-24,1970
2020-04-25,1135
2020-04-26,1382
2020-04-27,2248
2020-04-28,2592
2020-04-29,2119
2020-04-30,1813
2020-05-01,1571
2020-05-02,1381
2020-05-03,995
2020-05-04,2478
2020-05-05,2595
2020-05-06,2041
2020-05-07,1666
2020-05-08,1510
2020-05-09,873
2020-05-10,940
2020-05-11,1653
2020-05-12,1709
2020-05-13,1783
2020-05-14,1472
2020-05-15,1146
2020-05-16,792
2020-05-17,1033
2020-05-18,1543
2020-05-19,1504
2020-05-20,1345
2020-05-21,1231
2020-05-22,1100
2020-05-23,651
2020-05-24,674
2020-05-25,667
2020-05-26,1396
2020-05-27,1179
2020-05-28,1241
2020-05-29,848
2020-05-30,592
2020-05-31,651
2020-06-01,1302
2020-06-02,996
2020-06-03,979
2020-06-04,1092
2020-06-05,779
2020-06-06,405
2020-06-07,554
2020-06-08,967
2020-06-09,907
2020-06-10,875
2020-06-11,768
2020-06-12,731
2020-06-13,336
2020-06-14,404
2020-06-15,771
2020-06-16,785
2020-06-17,699
2020-06-18,749
2020-06-19,562
2020-06-20,265
2020-06-21,367
2020-06-22,827
2020-06-23,753
2020-06-24,620
2020-06-25,639
2020-06-26,2387
2020-06-27,272
2020-06-28,344
2020-06-29,1271
2020-06-30,688
2020-07-01,669
2020-07-02,602
2020-07-03,233
2020-07-04,226
2020-07-05,386
2020-07-06,911
2020-07-07,841
2020-07-08,987
2020-07-09,829
2020-07-10,678
2020-07-11,459
2020-07-12,347
2020-07-13,914
2020-07-14,893
2020-07-15,905
2020-07-16,852
2020-07-17,956
2020-07-18,443
2020-07-19,421
2020-07-20,1122
2020-07-21,1101
2020-07-22,1085
2020-07-23,1125
2020-07-24,924
2020-07-25,514
2020-07-26,1124
2020-07-27,1289
2020-07-28,1608
2020-07-29,924
2020-07-30,1440
2020-07-31,1127
2020-08-01,375
2020-08-02,593
2020-08-03,1332
2020-08-04,1256
2020-08-05,1231
2020-08-06,1370
2020-08-07,971
2020-08-08,655
2020-08-09,462
2020-08-10,1415
2020-08-11,1446
2020-08-12,1178
