Date,ND confirmed,NE confirmed,ND deaths,NE deaths
22-01-2020,0,0,0,0
23-01-2020,0,0,0,0
24-01-2020,0,0,0,0
25-01-2020,0,0,0,0
26-01-2020,0,0,0,0
27-01-2020,0,0,0,0
28-01-2020,0,0,0,0
29-01-2020,0,0,0,0
30-01-2020,0,0,0,0
31-01-2020,0,0,0,0
01-02-2020,0,0,0,0
02-02-2020,0,0,0,0
03-02-2020,0,0,0,0
04-02-2020,0,0,0,0
05-02-2020,0,0,0,0
06-02-2020,0,0,0,0
07-02-2020,0,0,0,0
08-02-2020,0,0,0,0
09-02-2020,0,0,0,0
10-02-2020,0,0,0,0
11-02-2020,0,0,0,0
12-02-2020,0,0,0,0
13-02-2020,0,0,0,0
14-02-2020,0,0,0,0
15-02-2020,0,0,0,0
16-02-2020,0,0,0,0
17-02-2020,0,0,0,0
18-02-2020,0,0,0,0
19-02-2020,0,0,0,0
20-02-2020,0,0,0,0
21-02-2020,0,0,0,0
22-02-2020,0,0,0,0
23-02-2020,0,0,0,0
24-02-2020,0,0,0,0
25-02-2020,0,0,0,0
26-02-2020,0,0,0,0
27-02-2020,0,0,0,0
28-02-2020,0,0,0,0
29-02-2020,0,0,0,0
01-03-2020,0,0,0,0
02-03-2020,0,0,0,0
03-03-2020,0,0,0,0
04-03-2020,0,0,0,0
05-03-2020,0,0,0,0
06-03-2020,0,1,0,0
07-03-2020,0,1,0,0
08-03-2020,0,1,0,0
09-03-2020,0,4,0,0
10-03-2020,0,5,0,0
11-03-2020,0,10,0,0
12-03-2020,1,11,0,0
13-03-2020,1,13,0,0
14-03-2020,1,18,0,0
15-03-2020,1,18,0,0
16-03-2020,1,18,0,0
17-03-2020,5,24,0,0
18-03-2020,7,26,0,0
19-03-2020,19,31,0,0
20-03-2020,26,36,0,0
21-03-2020,28,45,0,0
22-03-2020,30,49,0,0
23-03-2020,32,52,0,0
24-03-2020,36,55,0,0
25-03-2020,45,62,0,0
26-03-2020,58,73,0,0
27-03-2020,68,80,1,2
28-03-2020,93,108,1,2
29-03-2020,97,129,1,2
30-03-2020,109,153,3,3
31-03-2020,126,177,3,4
01-04-2020,147,214,3,5
02-04-2020,159,254,3,6
03-04-2020,173,284,3,6
04-04-2020,186,318,3,6
05-04-2020,207,354,3,6
06-04-2020,225,401,3,6
07-04-2020,237,477,4,6
08-04-2020,251,522,4,14
09-04-2020,269,576,5,14
10-04-2020,278,646,7,14
11-04-2020,293,703,7,14
12-04-2020,308,757,8,14
13-04-2020,331,832,9,14
14-04-2020,341,873,9,14
15-04-2020,365,915,9,14
16-04-2020,393,960,9,14
17-04-2020,393,1003,9,14
18-04-2020,393,1163,9,14
19-04-2020,393,1200,10,14
20-04-2020,627,1293,13,14
21-04-2020,643,1436,13,14
22-04-2020,679,1676,14,14
23-04-2020,709,1895,15,14
