,Date,ND confirmed,NE confirmed,ND deaths,NE deaths,ne_confirmed_per_day,nd_confirmed_per_day,ne_deaths_per_day,nd_deaths_per_day
0,22-01-2020,0,0,0,0,0,0,0,0
1,23-01-2020,0,0,0,0,0,0,0,0
2,24-01-2020,0,0,0,0,0,0,0,0
3,25-01-2020,0,0,0,0,0,0,0,0
4,26-01-2020,0,0,0,0,0,0,0,0
5,27-01-2020,0,0,0,0,0,0,0,0
6,28-01-2020,0,0,0,0,0,0,0,0
7,29-01-2020,0,0,0,0,0,0,0,0
8,30-01-2020,0,0,0,0,0,0,0,0
9,31-01-2020,0,0,0,0,0,0,0,0
10,01-02-2020,0,0,0,0,0,0,0,0
11,02-02-2020,0,0,0,0,0,0,0,0
12,03-02-2020,0,0,0,0,0,0,0,0
13,04-02-2020,0,0,0,0,0,0,0,0
14,05-02-2020,0,0,0,0,0,0,0,0
15,06-02-2020,0,0,0,0,0,0,0,0
16,07-02-2020,0,0,0,0,0,0,0,0
17,08-02-2020,0,0,0,0,0,0,0,0
18,09-02-2020,0,0,0,0,0,0,0,0
19,10-02-2020,0,0,0,0,0,0,0,0
20,11-02-2020,0,0,0,0,0,0,0,0
21,12-02-2020,0,0,0,0,0,0,0,0
22,13-02-2020,0,0,0,0,0,0,0,0
23,14-02-2020,0,0,0,0,0,0,0,0
24,15-02-2020,0,0,0,0,0,0,0,0
25,16-02-2020,0,0,0,0,0,0,0,0
26,17-02-2020,0,0,0,0,0,0,0,0
27,18-02-2020,0,0,0,0,0,0,0,0
28,19-02-2020,0,0,0,0,0,0,0,0
29,20-02-2020,0,0,0,0,0,0,0,0
30,21-02-2020,0,0,0,0,0,0,0,0
31,22-02-2020,0,0,0,0,0,0,0,0
32,23-02-2020,0,0,0,0,0,0,0,0
33,24-02-2020,0,0,0,0,0,0,0,0
34,25-02-2020,0,0,0,0,0,0,0,0
35,26-02-2020,0,0,0,0,0,0,0,0
36,27-02-2020,0,0,0,0,0,0,0,0
37,28-02-2020,0,0,0,0,0,0,0,0
38,29-02-2020,0,0,0,0,0,0,0,0
39,01-03-2020,0,0,0,0,0,0,0,0
40,02-03-2020,0,0,0,0,0,0,0,0
41,03-03-2020,0,0,0,0,0,0,0,0
42,04-03-2020,0,0,0,0,0,0,0,0
43,05-03-2020,0,0,0,0,0,0,0,0
44,06-03-2020,0,1,0,0,1,0,0,0
45,07-03-2020,0,1,0,0,0,0,0,0
46,08-03-2020,0,1,0,0,0,0,0,0
47,09-03-2020,0,4,0,0,3,0,0,0
48,10-03-2020,0,5,0,0,1,0,0,0
49,11-03-2020,0,10,0,0,5,0,0,0
50,12-03-2020,1,11,0,0,1,1,0,0
51,13-03-2020,1,13,0,0,2,0,0,0
52,14-03-2020,1,18,0,0,5,0,0,0
53,15-03-2020,1,18,0,0,0,0,0,0
54,16-03-2020,1,18,0,0,0,0,0,0
55,17-03-2020,5,24,0,0,6,4,0,0
56,18-03-2020,7,26,0,0,2,2,0,0
57,19-03-2020,19,31,0,0,5,12,0,0
58,20-03-2020,26,36,0,0,5,7,0,0
59,21-03-2020,28,45,0,0,9,2,0,0
60,22-03-2020,30,49,0,0,4,2,0,0
61,23-03-2020,32,52,0,0,3,2,0,0
62,24-03-2020,36,55,0,0,3,4,0,0
63,25-03-2020,45,62,0,0,7,9,0,0
64,26-03-2020,58,73,0,0,11,13,0,0
65,27-03-2020,68,80,1,2,7,10,2,1
66,28-03-2020,93,108,1,2,28,25,0,0
